Id,Year,Age,School,Height,Weight,Sprint_40yd,Vertical_Jump,Bench_Press_Reps,Broad_Jump,Agility_3cone,Shuttle,Player_Type,Position_Type,Position,Drafted
468,2016,22.0,Maryland,1.9304,131.9953797,4.95,73.66,24.0,,7.95,4.37,defense,defensive_lineman,DT,1
469,2013,21.0,LSU,1.8542,96.61517481,4.53,102.87,17.0,340.36,6.99,4.22,defense,defensive_back,FS,1
470,2016,22.0,Ohio St.,2.0066,140.6136347,5.23,73.66,20.0,256.54,7.7,4.76,offense,offensive_lineman,OT,1
471,2016,23.0,Stanford,1.9304,106.1406146,4.62,91.44,12.0,312.42,6.49,4.2,offense,backs_receivers,WR,0
472,2015,23.0,Northern Illinois,1.8288,92.98643585,4.54,93.98,17.0,304.8,7.04,4.11,offense,backs_receivers,WR,1
473,2014,24.0,Michigan,1.7018,83.91458845,4.49,,15.0,,,,offense,backs_receivers,WR,1
474,2012,22.0,Alabama,1.8796,123.3771246,4.74,,22.0,,,,defense,defensive_lineman,DE,1
475,2013,24.0,Florida St.,1.9558,140.6136347,5.29,62.23,,261.62,8.31,5.01,offense,offensive_lineman,OT,1
476,2018,22.0,Georgia,1.8034,102.965468,4.52,97.79,29.0,325.12,7.09,4.25,offense,backs_receivers,RB,1
477,2014,22.0,USC,1.905,128.8202331,4.99,74.93,18.0,279.4,,,defense,defensive_lineman,DT,0
478,2015,22.0,Georgia,1.8796,107.5013917,4.77,88.9,23.0,281.94,,4.51,defense,line_backer,ILB,1
479,2013,,Ball St.,1.8796,93.89362059,4.84,,,,,,special_teams,kicking_specialist,P,0
480,2017,,Miami (FL),1.8542,98.88313666,4.64,88.9,19.0,309.88,,,defense,defensive_back,SS,0
481,2016,23.0,Missouri,1.8288,111.1301307,4.89,72.39,19.0,279.4,6.99,4.11,defense,line_backer,OLB,1
482,2017,21.0,Florida International,1.905,112.4909078,4.62,96.52,22.0,322.58,,4.18,offense,backs_receivers,TE,1
483,2013,22.0,Syracuse,1.8796,102.965468,5.06,72.39,,266.7,7.34,4.53,offense,backs_receivers,QB,1
484,2010,21.0,Georgia,1.8542,132.9025644,4.75,83.82,34.0,297.18,7.33,4.43,defense,defensive_lineman,DT,1
485,2010,24.0,Oregon St.,1.9304,101.1510985,4.93,74.93,,254.0,7.26,4.39,offense,backs_receivers,QB,1
486,2015,22.0,Northwestern,1.8034,94.34721296,4.52,,23.0,,,,defense,defensive_back,SS,1
487,2009,21.0,North Carolina,1.8288,83.00740371,4.52,,,,,,offense,backs_receivers,WR,1
488,2018,21.0,Mississippi St.,1.9558,120.2019781,4.74,68.58,16.0,281.94,7.5,4.75,offense,backs_receivers,TE,1
489,2013,23.0,UCLA,1.778,92.98643585,4.49,80.01,18.0,292.1,6.89,4.31,offense,backs_receivers,RB,1
490,2011,21.0,Clemson,1.9812,147.8711126,5.38,73.66,33.0,243.84,7.9,4.7,offense,offensive_lineman,OT,1
491,2014,24.0,Baylor,1.8034,87.99691978,4.52,93.98,11.0,312.42,6.8,4.34,defense,defensive_back,CB,1
492,2015,22.0,TCU,1.8288,106.594207,4.93,71.12,21.0,276.86,,4.49,defense,line_backer,ILB,1
493,2013,22.0,Miami (FL),1.8034,87.54332741,4.4,85.09,14.0,302.26,6.71,4.18,defense,defensive_back,CB,1
494,2015,22.0,Washington,1.8288,89.35769689,4.53,95.25,17.0,307.34,7.08,4.08,defense,defensive_back,CB,1
495,2009,22.0,Mississippi,1.8288,90.26488163,4.33,101.6,14.0,327.66,6.9,4.27,offense,backs_receivers,WR,1
496,2011,,Fresno St.,1.905,105.6870222,5.12,,,,6.84,4.28,offense,backs_receivers,QB,0
497,2018,23.0,Notre Dame,2.032,140.1600423,,72.39,24.0,266.7,,,offense,offensive_lineman,OT,1
498,2010,23.0,Syracuse,1.905,136.5313034,5.04,,,,,,defense,defensive_lineman,DT,1
499,2010,,Penn St.,1.8796,106.594207,4.72,,21.0,,,,offense,backs_receivers,QB,0
500,2010,22.0,Troy,1.8796,116.5732391,4.92,83.82,,292.1,7.23,4.53,defense,line_backer,OLB,1
501,2009,22.0,SMU,1.9304,102.0582833,4.83,,19.0,,,,special_teams,kicking_specialist,P,1
502,2011,23.0,California (PA),1.905,95.70799007,4.59,101.6,,320.04,6.84,4.12,offense,backs_receivers,QB,0
503,2017,20.0,Utah,1.8542,91.62565874,4.56,110.49,14.0,327.66,6.85,4.2,defense,defensive_back,FS,1
504,2016,21.0,Illinois,1.9558,134.7169339,5.11,63.5,20.0,281.94,7.38,4.63,defense,defensive_lineman,DT,1
505,2012,23.0,LSU,1.905,110.2229459,4.69,91.44,18.0,307.34,7.19,,offense,backs_receivers,TE,0
506,2014,21.0,Louisville,1.8542,113.8516849,4.86,83.82,23.0,294.64,6.98,4.26,defense,line_backer,ILB,1
507,2010,22.0,Fresno St.,1.8796,106.594207,4.84,,19.0,,,,special_teams,kicking_specialist,P,0
508,2011,21.0,Stanford,1.8542,91.62565874,4.53,97.79,18.0,312.42,6.67,4.09,offense,backs_receivers,WR,1
509,2013,23.0,Arizona St.,1.8288,94.80080533,4.54,92.71,12.0,317.5,6.77,4.07,defense,defensive_back,SS,0
510,2018,,Miami (FL),1.8542,87.99691978,4.46,82.55,13.0,304.8,6.95,4.25,defense,defensive_back,CB,0
511,2014,22.0,Baylor,1.7526,91.17206637,4.51,105.41,15.0,340.36,,,offense,backs_receivers,RB,1
512,2009,,California,1.8796,105.6870222,4.69,,28.0,294.64,,,defense,line_backer,ILB,0
513,2013,22.0,Missouri,1.8796,133.3561568,5.02,81.28,30.0,294.64,,,defense,defensive_lineman,DT,1
514,2014,21.0,Florida,1.8796,130.6346026,4.93,,26.0,,,,defense,defensive_lineman,DT,1
515,2014,23.0,Tennessee,1.8542,147.8711126,5.06,72.39,28.0,251.46,7.93,4.71,defense,defensive_lineman,DT,0
516,2019,,Troy,1.8288,87.99691978,4.75,,14.0,320.04,7.33,4.22,defense,defensive_back,CB,0
517,2012,22.0,Arkansas,1.778,82.55381134,4.39,96.52,11.0,304.8,6.93,4.03,offense,backs_receivers,WR,1
518,2019,21.0,Washington,1.8288,94.34721296,,88.9,17.0,292.1,6.82,3.99,defense,defensive_back,S,1
519,2015,22.0,William & Mary,1.8288,95.2543977,4.41,96.52,16.0,309.88,6.96,4.08,offense,backs_receivers,WR,1
520,2010,22.0,Alabama,1.9558,141.5208194,5.37,63.5,,231.14,8.15,5.01,offense,offensive_lineman,OG,1
521,2013,,West Virginia,1.905,140.6136347,5.2,63.5,25.0,248.92,7.6,4.83,offense,offensive_lineman,C,0
522,2013,,Glenville State,1.9558,148.7782974,5.65,52.07,20.0,231.14,8.07,5.03,offense,offensive_lineman,OG,0
523,2017,20.0,Ohio St.,1.8034,88.90410452,4.31,93.98,18.0,302.26,7.09,4.33,offense,backs_receivers,WR,1
524,2014,22.0,Saginaw Valley St.,1.905,99.33672903,4.42,95.25,20.0,312.42,6.64,3.98,offense,backs_receivers,WR,1
525,2019,21.0,Stanford,1.9558,115.6660544,4.92,81.28,15.0,274.32,7.08,4.47,offense,backs_receivers,TE,1
526,2011,22.0,San Diego St.,1.8034,84.82177319,4.68,85.09,12.0,307.34,6.64,4.25,offense,backs_receivers,WR,1
527,2016,23.0,Kansas St.,1.9304,136.5313034,5.02,64.77,16.0,279.4,7.32,4.58,offense,offensive_lineman,OT,1
528,2016,21.0,Clemson,1.905,148.324705,5.33,74.93,30.0,251.46,7.9,4.71,defense,defensive_lineman,DT,1
529,2014,21.0,Vanderbilt,1.8288,93.89362059,4.7,92.71,24.0,322.58,,,defense,defensive_back,FS,0
530,2009,23.0,Alabama,1.8034,92.07925111,4.49,93.98,15.0,304.8,7.09,4.23,defense,defensive_back,FS,1
531,2015,22.0,Baylor,1.8542,106.1406146,4.6,88.9,26.0,297.18,7.15,4.36,defense,line_backer,ILB,1
532,2010,,LSU,1.8796,100.2439138,4.59,91.44,9.0,292.1,6.83,4.14,defense,defensive_back,SS,1
533,2012,22.0,Notre Dame,1.8796,111.1301307,4.71,85.09,27.0,289.56,7.03,4.28,defense,line_backer,OLB,1
534,2009,22.0,Penn St.,1.7526,86.1825503,4.48,88.9,15.0,297.18,7.0,4.21,defense,defensive_back,CB,0
535,2018,22.0,Miami (FL),1.7526,83.46099608,,,11.0,,,,offense,backs_receivers,WR,1
536,2013,21.0,Georgia,1.905,141.9744118,5.06,67.31,30.0,256.54,,,defense,defensive_lineman,DT,0
537,2015,21.0,Arkansas,1.8796,120.6555704,4.93,92.71,28.0,307.34,7.34,4.4,defense,defensive_lineman,DE,1
538,2009,21.0,Connecticut,1.778,95.2543977,4.46,105.41,,317.5,6.93,4.1,offense,backs_receivers,RB,1
539,2011,23.0,Utah St.,1.8288,89.35769689,4.42,95.25,12.0,312.42,6.87,4.07,defense,defensive_back,CB,1
540,2018,21.0,Florida,1.8034,90.718474,4.41,86.36,,307.34,,,offense,backs_receivers,WR,1
541,2009,23.0,Louisville,1.9304,106.594207,5.22,66.04,,251.46,7.4,4.59,offense,backs_receivers,QB,0
542,2012,21.0,LSU,1.9558,146.0567431,5.31,67.31,,266.7,7.46,4.81,defense,defensive_lineman,DT,1
543,2016,22.0,Oklahoma,1.8542,106.594207,4.7,95.25,21.0,307.34,7.07,4.36,defense,line_backer,OLB,1
544,2013,21.0,Notre Dame,1.778,91.17206637,4.68,81.28,,299.72,,,offense,backs_receivers,RB,1
545,2010,22.0,Alabama,1.9304,142.4280042,5.08,,,,,,defense,defensive_lineman,DT,1
546,2010,23.0,Stanford,1.9558,111.583723,4.82,,17.0,,,,offense,backs_receivers,TE,1
547,2017,22.0,Tennessee,1.905,97.97595192,4.64,83.82,,309.88,6.75,4.31,offense,backs_receivers,QB,1
548,2012,24.0,Florida,1.7272,81.6466266,4.36,92.71,16.0,304.8,6.5,3.93,offense,backs_receivers,RB,1
549,2017,22.0,Temple,1.8288,88.90410452,4.52,90.17,14.0,299.72,,,defense,defensive_back,CB,1
550,2010,23.0,Mississippi St.,1.8542,109.7693535,4.54,99.06,26.0,314.96,6.9,4.29,defense,line_backer,ILB,1
551,2017,,Shepherd,1.905,115.212462,4.7,73.66,23.0,299.72,,,offense,backs_receivers,TE,0
552,2014,22.0,BYU,1.905,110.2229459,4.71,82.55,21.0,284.48,7.22,4.2,defense,line_backer,OLB,1
553,2009,22.0,Ohio St.,1.8288,89.35769689,4.5,114.3,9.0,342.9,6.84,4.2,defense,defensive_back,CB,1
554,2014,24.0,Missouri,1.8796,118.3876086,4.91,64.77,17.0,289.56,7.8,4.7,defense,defensive_lineman,DE,1
555,2018,,Texas Tech,1.905,99.7903214,4.88,72.39,,256.54,7.28,4.32,offense,backs_receivers,QB,0
556,2012,23.0,Missouri,1.9558,141.9744118,5.45,,31.0,,7.82,4.78,defense,defensive_lineman,DT,0
557,2017,23.0,Western Kentucky,1.9304,140.1600423,5.0,69.85,34.0,281.94,7.55,4.62,offense,offensive_lineman,OG,1
558,2019,21.0,Central Michigan,1.8288,88.45051215,4.42,105.41,14.0,320.04,,,defense,defensive_back,CB,1
559,2018,,Penn St.,1.8542,87.99691978,,,14.0,,,,defense,defensive_back,CB,0
560,2014,22.0,Oregon,1.8034,93.44002822,4.51,90.17,14.0,294.64,,,offense,backs_receivers,WR,1
561,2011,22.0,Virginia Tech,1.8288,102.965468,4.56,88.9,26.0,281.94,6.96,4.46,offense,backs_receivers,RB,0
562,2010,22.0,Oklahoma,1.9304,107.0477993,4.79,,,,,,offense,backs_receivers,QB,1
563,2015,21.0,Michigan,1.905,122.9235323,4.79,97.79,19.0,299.72,7.08,4.05,defense,defensive_lineman,DE,1
564,2015,23.0,Oklahoma,1.9812,114.3052772,4.8,83.82,14.0,294.64,6.85,4.32,offense,backs_receivers,TE,1
565,2010,22.0,Arkansas,1.905,140.6136347,5.34,,45.0,,,,offense,offensive_lineman,OG,1
566,2011,23.0,North Carolina,1.8034,96.61517481,4.73,86.36,21.0,299.72,7.15,4.2,offense,backs_receivers,RB,0
567,2013,21.0,Arkansas,1.905,141.5208194,4.95,,27.0,,,,offense,offensive_lineman,OG,0
568,2015,22.0,Georgia,1.8796,96.61517481,4.35,114.3,18.0,353.06,7.06,4.3,offense,backs_receivers,WR,1
569,2018,23.0,Georgia,1.905,97.52235955,4.53,85.09,,287.02,7.0,,offense,backs_receivers,WR,1
570,2015,21.0,Oklahoma,1.9558,107.5013917,4.49,85.09,13.0,302.26,6.89,4.45,offense,backs_receivers,WR,1
571,2012,22.0,North Carolina St.,1.8034,85.27536556,4.34,85.09,8.0,304.8,6.77,4.18,offense,backs_receivers,WR,1
572,2015,24.0,Auburn,1.778,96.16158244,4.53,92.71,,299.72,7.13,,offense,backs_receivers,RB,1
573,2017,,West Virginia,1.905,135.1705263,,,24.0,,,,offense,offensive_lineman,C,0
574,2014,23.0,Wake Forest,1.7526,87.08973504,4.46,99.06,20.0,309.88,6.77,4.01,offense,backs_receivers,WR,1
575,2009,23.0,Nebraska,2.0066,138.7992652,4.82,88.9,25.0,279.4,7.06,4.34,offense,offensive_lineman,OT,1
576,2013,22.0,Ohio St.,1.8796,112.0373154,4.75,,24.0,289.56,,,defense,line_backer,OLB,0
577,2010,23.0,California,1.7526,84.36818082,4.75,83.82,,297.18,6.73,4.26,defense,defensive_back,CB,1
578,2018,,Utah,1.8796,90.26488163,,91.44,,304.8,,,offense,backs_receivers,WR,0
579,2012,22.0,Penn St.,1.9558,137.4384881,5.01,74.93,26.0,,,,defense,defensive_lineman,DT,1
580,2015,22.0,Michigan St.,1.8288,84.36818082,4.31,96.52,19.0,309.88,7.06,4.39,defense,defensive_back,CB,1
581,2017,22.0,Youngstown St.,1.9304,112.4909078,4.61,88.9,30.0,312.42,6.94,4.4,defense,defensive_lineman,DE,1
582,2016,22.0,Memphis,2.0066,110.6765383,4.86,91.44,,299.72,7.14,4.26,offense,backs_receivers,QB,1
583,2015,21.0,Central Michigan,1.7526,97.52235955,4.65,90.17,15.0,294.64,,,offense,backs_receivers,RB,0
584,2014,22.0,Stanford,1.8542,93.89362059,4.57,82.55,15.0,297.18,,,defense,defensive_back,FS,1
585,2015,22.0,Missouri,1.9558,138.3456729,5.14,78.74,36.0,284.48,7.6,4.5,offense,offensive_lineman,OG,1
586,2013,23.0,LSU,1.8796,140.1600423,5.08,63.5,30.0,264.16,7.53,4.67,defense,defensive_lineman,DT,1
587,2009,22.0,USC,1.905,110.2229459,4.64,88.9,30.0,304.8,6.84,4.22,defense,line_backer,OLB,1
588,2015,,Virginia,1.8542,83.00740371,4.56,,,,,,defense,defensive_back,FS,0
589,2015,21.0,Notre Dame,1.9558,115.6660544,4.79,,,,,,offense,backs_receivers,TE,1
590,2012,23.0,Boise St.,1.9812,137.4384881,5.26,72.39,22.0,254.0,7.49,4.67,offense,offensive_lineman,OT,1
591,2009,21.0,Georgia Tech,1.8796,137.8920805,5.32,83.82,29.0,,,,defense,defensive_lineman,DT,1
592,2019,,Kentucky,1.778,101.6046909,4.66,74.93,16.0,302.26,7.07,4.33,offense,backs_receivers,RB,0
593,2019,23.0,Arkansas,1.8034,94.80080533,4.61,78.74,11.0,281.94,,,defense,defensive_back,CB,0
594,2014,22.0,Colorado St.,1.9812,117.9340162,4.89,85.09,,304.8,7.42,4.44,offense,backs_receivers,TE,1
595,2010,22.0,Oklahoma St.,1.8288,96.61517481,4.66,81.28,22.0,279.4,,4.67,offense,backs_receivers,RB,0
596,2017,23.0,Texas A&M,1.905,144.2423737,5.35,50.8,24.0,231.14,8.08,5.0,offense,offensive_lineman,OG,0
597,2014,22.0,Pittsburgh,1.905,89.81128926,4.55,93.98,,314.96,6.89,4.01,offense,backs_receivers,WR,1
598,2016,24.0,Western Kentucky,1.905,96.61517481,5.22,68.58,,261.62,7.49,4.52,offense,backs_receivers,QB,1
599,2014,22.0,Notre Dame,1.8796,150.1390745,5.32,64.77,,246.38,8.29,4.94,defense,defensive_lineman,DT,1
600,2010,,Arizona St.,1.8542,91.17206637,4.52,101.6,19.0,309.88,,4.21,offense,backs_receivers,WR,0
601,2018,,Arizona St.,1.905,134.2633415,5.16,76.2,25.0,266.7,,,defense,defensive_lineman,DE,0
602,2011,23.0,Pittsburgh,1.905,143.7887813,5.39,67.31,,248.92,7.88,4.91,offense,offensive_lineman,OT,1
603,2010,22.0,Arizona St.,1.8796,108.8621688,4.81,88.9,21.0,281.94,6.93,4.54,defense,line_backer,ILB,1
604,2012,,Virginia Tech,2.0066,153.3142211,5.75,72.39,22.0,,,,offense,offensive_lineman,OT,0
605,2017,22.0,TCU,1.905,109.7693535,4.74,74.93,25.0,304.8,7.2,4.44,defense,defensive_lineman,DE,1
606,2017,22.0,LSU,1.8034,87.08973504,4.47,81.28,16.0,302.26,6.9,4.32,defense,defensive_back,CB,1
607,2012,22.0,Utah St.,1.778,100.6975061,4.42,91.44,28.0,309.88,7.16,4.31,offense,backs_receivers,RB,1
608,2011,22.0,Georgia Tech,1.8542,103.4190604,4.56,105.41,24.0,304.8,6.79,4.06,offense,backs_receivers,RB,1
609,2017,22.0,Toledo,1.9304,122.4699399,4.86,76.2,,279.4,7.05,4.51,offense,backs_receivers,TE,1
610,2013,22.0,Southern Miss,1.9304,141.9744118,5.44,53.34,23.0,238.76,8.23,5.07,offense,offensive_lineman,OT,0
611,2018,22.0,Appalachian St.,1.9558,141.0672271,5.2,63.5,32.0,261.62,7.6,4.83,offense,offensive_lineman,OG,1
612,2018,23.0,South Florida,1.9304,93.44002822,4.37,77.47,15.0,314.96,,,offense,backs_receivers,WR,1
613,2011,22.0,Georgia Tech,1.8288,82.55381134,4.65,77.47,,304.8,7.09,4.37,defense,defensive_back,CB,0
614,2009,21.0,Nevada,1.8542,110.2229459,4.61,,,,,,defense,line_backer,ILB,0
615,2018,,Oregon,1.8542,110.2229459,5.0,76.2,18.0,281.94,7.26,4.28,special_teams,other_special,LS,0
616,2016,23.0,Michigan St.,1.9304,98.42954429,4.79,83.82,,287.02,7.21,4.28,offense,backs_receivers,QB,1
617,2017,24.0,Toledo,1.8796,136.077711,,,,,,,defense,defensive_lineman,DT,1
618,2009,,Mississippi St.,1.778,90.26488163,4.54,91.44,23.0,302.26,7.08,4.3,defense,defensive_back,FS,0
619,2011,21.0,LSU,1.8542,133.3561568,5.06,77.47,31.0,284.48,7.71,4.65,defense,defensive_lineman,DT,1
620,2015,22.0,UCLA,1.905,121.1091628,4.62,99.06,25.0,322.58,7.36,4.19,defense,defensive_lineman,DE,1
621,2017,22.0,Boston Col.,1.8288,101.1510985,4.67,88.9,24.0,320.04,,,defense,line_backer,OLB,1
622,2016,23.0,Utah,1.8034,99.33672903,4.56,,22.0,,,,offense,backs_receivers,RB,1
623,2019,21.0,Kentucky,1.8796,96.61517481,4.52,96.52,15.0,327.66,7.01,4.1,defense,defensive_back,CB,1
624,2017,22.0,Miami (FL),1.905,138.7992652,5.03,73.66,26.0,238.76,8.13,4.9,offense,offensive_lineman,OG,1
625,2014,23.0,Florida St.,1.9558,108.8621688,4.61,82.55,13.0,302.26,7.33,4.39,offense,backs_receivers,WR,1
626,2015,22.0,Auburn,1.905,134.2633415,5.31,69.85,23.0,271.78,8.14,4.7,offense,offensive_lineman,C,0
627,2019,22.0,Mississippi,1.9304,115.212462,,87.63,16.0,,7.12,4.27,offense,backs_receivers,TE,1
628,2013,21.0,Tennessee,1.9812,105.2334298,5.05,,,254.0,7.2,4.51,offense,backs_receivers,QB,0
629,2012,22.0,Alabama,1.8034,91.62565874,4.65,83.82,,294.64,,,defense,defensive_back,CB,1
630,2017,22.0,Clemson,1.778,87.54332741,4.61,78.74,13.0,294.64,7.19,4.49,offense,backs_receivers,WR,0
631,2014,23.0,Baylor,1.9558,149.2318897,5.36,64.77,25.0,231.14,7.7,4.83,offense,offensive_lineman,OG,1
632,2016,22.0,Michigan St.,1.9558,132.9025644,5.02,83.82,26.0,287.02,7.44,4.52,defense,defensive_lineman,DT,0
633,2017,22.0,Alabama,1.9812,113.8516849,4.51,76.2,22.0,307.34,6.85,4.16,offense,backs_receivers,TE,1
634,2011,22.0,Washington St.,1.905,140.1600423,5.18,76.2,28.0,261.62,7.54,4.62,offense,offensive_lineman,C,0
635,2013,,Idaho,1.9304,99.33672903,5.13,,,,,,special_teams,kicking_specialist,P,0
636,2014,23.0,San Jose St.,1.8796,96.16158244,4.99,71.12,,261.62,7.55,4.5,offense,backs_receivers,QB,1
637,2017,21.0,Indiana,1.7272,92.98643585,4.76,77.47,16.0,294.64,7.18,4.46,offense,backs_receivers,RB,0
638,2012,22.0,Vanderbilt,1.8034,87.08973504,4.47,86.36,19.0,302.26,6.76,3.9,defense,defensive_back,CB,1
639,2013,,Auburn,1.905,117.0268315,4.94,77.47,21.0,284.48,7.15,4.35,offense,backs_receivers,TE,0
640,2010,22.0,Toledo,1.8542,100.6975061,4.69,91.44,19.0,307.34,6.65,4.17,defense,defensive_back,SS,0
641,2009,22.0,Oklahoma,1.8796,106.1406146,4.83,80.01,15.0,276.86,7.05,4.37,defense,line_backer,OLB,1
642,2016,22.0,TCU,1.9812,145.1495584,5.26,73.66,23.0,287.02,8.26,5.0,offense,offensive_lineman,OT,1
643,2014,21.0,Ball St.,1.8034,88.45051215,4.62,85.09,11.0,287.02,7.19,4.39,offense,backs_receivers,WR,0
644,2018,,Connecticut,1.9304,144.2423737,5.29,76.2,33.0,284.48,7.44,4.53,defense,defensive_lineman,DT,0
645,2017,22.0,Penn St.,1.905,118.3876086,4.9,71.12,20.0,266.7,7.21,4.41,defense,defensive_lineman,DE,0
646,2009,21.0,Wisconsin,1.8542,103.4190604,4.5,,24.0,,,,defense,line_backer,OLB,0
647,2018,22.0,SMU,1.905,98.88313666,4.54,90.17,18.0,314.96,6.57,4.11,offense,backs_receivers,WR,1
648,2012,23.0,Texas A&M,1.9304,100.2439138,4.65,,,,,,offense,backs_receivers,QB,1
649,2016,23.0,Alabama,1.8796,120.2019781,4.99,71.12,17.0,274.32,7.74,4.69,defense,defensive_lineman,DE,0
650,2015,22.0,Toledo,1.9304,136.5313034,5.08,,,,,,offense,offensive_lineman,C,0
651,2010,23.0,Virginia,1.8542,108.4085764,4.75,87.63,,297.18,,,offense,backs_receivers,FB,0
652,2018,22.0,Texas,1.8796,94.34721296,,,,,,,special_teams,kicking_specialist,P,1
653,2013,,Alabama,1.8542,99.7903214,4.66,85.09,,297.18,,,defense,defensive_back,SS,0
654,2016,21.0,Ohio St.,1.9304,115.212462,4.68,85.09,20.0,314.96,,,defense,line_backer,ILB,1
655,2018,21.0,Florida St.,1.8542,143.7887813,5.38,68.58,25.0,243.84,8.15,5.02,defense,defensive_lineman,DT,1
656,2009,24.0,McNeese St.,1.8288,83.46099608,4.4,,20.0,,,,offense,backs_receivers,WR,1
657,2019,,Wisconsin,1.778,92.53284348,4.81,85.09,20.0,302.26,,,defense,defensive_back,S,0
658,2009,23.0,Iowa,1.9558,138.7992652,5.23,62.23,23.0,228.6,7.59,4.7,offense,offensive_lineman,OG,1
659,2012,,Florida St.,1.9558,116.1196467,4.84,,,,,,offense,backs_receivers,TE,0
660,2016,21.0,Michigan,1.905,137.4384881,5.0,77.47,28.0,279.4,7.57,4.53,defense,defensive_lineman,DT,1
661,2015,20.0,Florida St.,1.905,126.5522712,4.76,82.55,32.0,304.8,7.44,4.55,defense,defensive_lineman,DE,1
662,2011,23.0,Iowa,1.8288,108.4085764,4.77,80.01,20.0,294.64,,,defense,line_backer,OLB,0
663,2009,23.0,Alabama,1.8542,99.33672903,4.75,74.93,,266.7,7.53,4.59,offense,backs_receivers,QB,0
664,2013,25.0,Memphis,2.0066,143.7887813,5.25,60.96,21.0,248.92,7.91,4.77,offense,offensive_lineman,OT,0
665,2014,,South Florida,1.9304,117.9340162,4.95,69.85,17.0,276.86,,,defense,defensive_lineman,DE,0
666,2015,22.0,Pittsburgh,1.9304,121.5627552,5.04,77.47,20.0,284.48,7.13,4.23,offense,backs_receivers,TE,1
667,2015,21.0,Penn St.,1.9812,153.3142211,5.27,81.28,26.0,276.86,7.95,4.79,offense,offensive_lineman,OT,1
668,2011,21.0,New Mexico St.,1.8288,90.718474,4.44,85.09,14.0,276.86,6.65,4.12,defense,defensive_back,CB,1
669,2011,,Michigan St.,1.8288,85.72895793,4.38,90.17,10.0,312.42,6.91,4.25,offense,backs_receivers,WR,0
670,2009,21.0,Vanderbilt,1.7526,87.08973504,4.56,100.33,17.0,299.72,7.01,4.28,defense,defensive_back,CB,1
671,2017,22.0,Washington,1.8034,85.27536556,4.22,93.98,,337.82,,,offense,backs_receivers,WR,1
672,2010,23.0,Auburn,1.8542,115.6660544,4.76,,18.0,287.02,,,defense,line_backer,OLB,0
673,2010,23.0,UCLA,1.8542,107.0477993,4.69,82.55,25.0,297.18,6.67,4.11,defense,line_backer,OLB,0
674,2013,,Boise St.,1.7526,95.70799007,4.52,85.09,23.0,304.8,7.07,4.35,offense,backs_receivers,RB,0
675,2009,23.0,Maryland,1.8542,105.6870222,4.65,78.74,12.0,307.34,7.09,4.28,defense,line_backer,OLB,1
676,2012,23.0,Penn St.,1.8796,109.3157612,4.65,78.74,21.0,294.64,6.84,4.28,defense,line_backer,OLB,1
677,2016,23.0,Oklahoma,1.778,87.99691978,4.48,104.14,20.0,312.42,7.0,4.35,offense,backs_receivers,WR,1
678,2013,22.0,LSU,1.8796,91.62565874,4.51,86.36,9.0,325.12,,,defense,defensive_back,CB,1
679,2012,21.0,Illinois,1.9304,118.3876086,4.68,81.28,27.0,299.72,7.17,4.53,defense,defensive_lineman,DE,1
680,2012,21.0,Oregon,1.905,108.4085764,4.67,86.36,20.0,302.26,,,defense,line_backer,OLB,1
681,2019,,Morgan St.,1.9558,142.4280042,5.32,91.44,,276.86,8.07,4.75,offense,offensive_lineman,OT,0
682,2014,22.0,Kansas St.,2.032,143.3351889,5.29,,,,,,offense,offensive_lineman,OT,0
683,2014,,Alabama,1.8796,97.97595192,4.89,68.58,,276.86,,,special_teams,kicking_specialist,P,0
684,2014,21.0,Alabama,1.8542,94.34721296,4.58,83.82,11.0,302.26,7.16,4.16,defense,defensive_back,FS,1
685,2018,21.0,Delaware,1.9304,138.7992652,4.95,,29.0,,,,defense,defensive_lineman,DT,1
686,2010,23.0,Missouri,1.9558,97.52235955,4.62,,,,,,offense,backs_receivers,WR,0
687,2013,24.0,California (PA),1.8288,92.07925111,4.62,92.71,,312.42,6.97,4.27,defense,defensive_back,FS,0
688,2014,22.0,Tulane,1.7272,74.38914868,4.76,,,,,,special_teams,kicking_specialist,K,0
689,2015,23.0,West Virginia,1.7272,81.6466266,4.43,86.36,13.0,307.34,6.64,4.07,offense,backs_receivers,WR,1
690,2009,22.0,Baylor,1.9558,140.1600423,5.09,60.96,33.0,243.84,7.53,4.69,offense,offensive_lineman,OT,1
691,2016,23.0,Virginia Tech,1.8288,130.1810102,4.96,,29.0,,,,defense,defensive_lineman,DT,0
692,2009,23.0,Pittsburgh,1.8542,110.6765383,4.7,90.17,27.0,302.26,7.0,4.39,defense,line_backer,ILB,1
693,2014,23.0,West Virginia,1.8288,97.06876718,4.48,95.25,17.0,320.04,7.16,4.3,offense,backs_receivers,RB,1
694,2016,23.0,Duke,1.9304,96.16158244,5.1,,,,,,special_teams,kicking_specialist,P,0
695,2010,,Colorado,1.905,116.1196467,5.0,83.82,13.0,269.24,7.13,4.29,offense,backs_receivers,FB,0
696,2019,21.0,Mississippi,1.8796,91.62565874,4.55,85.09,11.0,302.26,7.06,4.53,offense,backs_receivers,WR,0
697,2017,22.0,Florida St.,1.8288,87.99691978,4.59,91.44,,312.42,,,defense,defensive_back,CB,1
698,2013,22.0,Notre Dame,1.8034,96.61517481,4.56,95.25,16.0,314.96,,,offense,backs_receivers,RB,0
